6717,建國中學(歷史博物館)
50440,蘆洲里
14418,山仔后
8611,內湖派出所一
20295,樂業街
1000414,頂半嶺
869,新安路一
4727,臨時站四
1821,漢口街
16251,大稻埕碼頭
1824,聚福宮
1878,臺北市立大學
291,洲美運動公園
702,冷水坑
14624,榮總
4073,美麗華(樂群)
2020,衡陽路
4780,鷺鷥草原
663,永公路二
2420,政大御花園
1001044,衛生福利部
57706,景興國中
5034,社子市場二
50534,大崙尾山
20384,福興路口
4761,金泰公園
5993,天師宮
57703,茶推廣中心
50028,舊莊
20414,靈糧山莊
13110,捷運士林站
2104,松隆路口
1001340,景華街
1000390,知行路口
2164,慈恩園
5017,風尾
5019,大坑廟
5002,富德里
50512,安泰街129巷
286,立賢路口
1700,捷運南港軟體園區站
4686,林安泰古厝
879,楓林橋
1000566,圓覺寺
960,鵝尾山步道口
1001298,大湖國小
6932,松友新村
357,中央南大興街口
2288,建國南路
1001330,公民會館(北投社大)
20313,小油坑
1001398,草湳
536,磺溪
1962,重慶南路一段
7220,林泉里
2715,北藝大藝文生態館
414,復興中學
2364,小坑口
4785,嘉興里
1436,延平一站(長安)
9455,帕米爾公園
4860,陽明山立體停車場(草山行館)
121,北投國中
742,社正路
9458,楓林橋
1000667,松山商職(松山)
1001460,陽明公園後門一
1000802,自來水博物館(太子學舍)
818,通河街(承德)
6687,博物館(襄陽)
1289,長安國小(長安)
3964,製片廠
50107,三重里
6403,萬華車站
4647,士林站
228,橫嶺古道
20402,南京西路口(塔城)
14415,永公路二
1000902,余氏古厝
4729,山豬窟
1980,羅斯福寧波街口
1001335,臨時站
6401,萬華車站
783,浮線
2379,文山二分局
1000216,南松山(塔悠)
748,芝山國小
1001118,市民延吉街口
4840,安泰橋
1001463,政大威秀
20243,民和街口
627,內雙溪橋
667,永平街口
693,磺仔外
242,明德路267巷
453,慈后宮
1192,中山區公所
5994,延平國小
387,捷運唭哩岸站二(東華)
1208,臺北漁市
1001103,興隆市場後站
9477,平菁街93巷二
6728,政大二街
1797,莒光派出所
1754,西門國小
4863,主教公署
1001394,建國中學
1001468,圳內
2026,聯合醫院婦幼院區
1621,九如里二
1001336,敦南203巷
1000290,芝山抽水站
1001462,湖山路二段
2543,貓空站(小天空步道)
1000310,新生南路一段
815,第二展望
744,雙溪淨水場
20241,舊宗路一段(行善)
547,關渡宮
14488,氣象台
60108,氣象台
4616,漢口街
5972,下溪沙尾
1001793,吳厝
9456,風櫃嘴
1930,忠孝國小
4609,青年公宅
883,菁山遊憩區一
16260,農安街吉林路口
1001120,微風廣場
1181,大直橋
3935,忠孝國小
56092,天恩宮
4639,西藏路口
1000909,學園路口
1706,富德公墓28區
1001328,北投公園(中山)
1418,民生西路口(大稻埕碼頭)
1000734,康樂街
2399,田寮橋
1001323,湖田區民活動中心
50064,陽明山靈骨塔
5049,溫歌華社區
1000341,酒泉街
100014568,黎明社教中心
2432,樟樹步道南口
905,福德宮
899,福音
1321,建國農安街口
14669,天母公園
1210,臺北漁市
3945,龍山國小
583,士林區農會
36,大業中央北路口
4992,合庫訓練中心
4858,富德公墓28區
14234,消防局(松仁)
1445,南京西路口(鈕釦街)
309,風動石
50110,茶葉製造示範場
851,陽明山泉
602,大經橋
1001469,內埔
1001471,彌陀寺(硫磺谷)
459,敬老院
50436,晉強公司
662,永公路一
5040,士林國小
50646,天北站
1592,臺北市區監理所
7230,清江國小
1000850,華齡街
5015,十八份埔
57704,景美國小(景文)
4832,芳和國中
757,威靈廟
50451,碧山路口
14509,環山網球場
2428,和平東路四段
8605,塔悠疏散門
1000619,岩山里
8665,敬業四路
2490,萬芳社區
4997,災害應變中心
355,捷運公館站
1000021,三軍總醫院松山分院
1001435,三王宮
767,故宮博物院
2471,普羅旺世
14424,中山樓
1000468,東湖站
198,宏國新村
500,綜合市場
1001488,萬隆社區
4826,雅祥公園
200005014,捷運唭哩岸站2
1720,舊莊
1001074,景美國小(景文)
50067,北藝大校門口
566,倫仔尾一
487,漾館時尚旅館
810,平菁街93巷一
4036,富光里
4648,坑口運動公園
714,帕米爾公園
1856,三軍總醫院
1291,長安新生北路口
1000774,慈音山莊
14419,淨水廠
334,健行新村(東華)
14604,頂北投
2101,松友新村
20419,金龍禪寺
1000926,山豬湖
1150,麗山高中(港墘)
20231,新湖舊宗路口
4866,關渡國中(關渡醫院)
819,通河街(承德)
6027,捷運小南門站
9466,合誠宮
340,國軍北投醫院
1271,松江新村
9410,雙溪站
4615,桂林路
1958,牯嶺街
1705,富德公墓20區
9465,福德祠
1000835,新湖民善街口(一)
4731,福音山莊
4188,捷運南港站
9487,明德樂園
1000442,六褔公園
4050,中和街
1001262,蘭州國中
4836,中正山登山口
50073,修德國小
14690,山上運動場
4167,八號水門
792,教師中心
4177,上塔悠
4651,南港機廠
1487,蘭州國中
1001247,樟樹步道北口
4987,天和里
1000870,成福宮
1001116,市民東寧路口
2541,興福國中
5992,鄰江里
6651,信義市場
866,新安里
4723,山豬窟
429,華江站
4894,大埔一
20418,堤頂大道口
427,無尾崙
816,陽明山國家公園管理處
50523,天寶聖道宮
1000413,紗帽陽明路口
9424,楓林橋
1001088,濟南金山路口
20415,福德宮
2386,木柵高工
30040,嶺頭
705,我家花園
9486,沙崙
4995,職能發展學院一
106,臺北城市科技大學(正門)
60149,水墘
510,熱海大飯店
1001234,人壽一村
1518,成福路口一
115,北投文物館
6672,金華大廈
36115,小油坑
1001260,照明寺
20368,泉源國小
1000052,承德路口
4865,通化街
20232,新湖舊宗路口
2001,博物館(館前)
